"ACTIVITY_ID","CASE_NUMBER","FED_PENALTY","ST_LCL_PENALTY","TOTAL_SEP","COMPLIANCE_ACTION_COST","FEDERAL_COST_RECOVERY_AMT","STATE_LOCAL_COST_RECOVERY_AMT","PENALTY_COLLECTED_AMT"
"1000012095","10-2008-0134","1750","0","0","5000",,,"1750"
"600074344","01-2008-1015","34692","0","0","0",,,"0"
"1000013423","06-2008-3596","1200","0","0","0",,,"1200"
"1000001628","08-2008-0108","0","0","0","0",,,"0"
"1400009341","02-2006-0929","0","0","0","150",,,"0"
"1400009965","08-2008-0265","0","0","0","330000",,,"0"
"1400010207","05-2008-0145","0","0","0","0",,,"0"
"1400014370","10-2009-0016","50","0","0","75",,,"50"
"1400021231","04-2009-8002","1200","0","0","1500",,,"1200"
"1400010319","02-2008-0511","450","0","0","0",,,"0"
"1400018284","04-2009-2008","1310","0","0","100",,,"1310"
"1400021458","06-2008-1319","0","0","0","6000",,,"0"
"1400008988","06-2008-4812","3900","0","0","0",,,"3900"
